Tipo;Nome;Descrição
Ritos Menores;812;Acólito no Rito de Batismo
Ritos Menores;815;Ofic. do Ritual de Benção
Ritos Menores;816;Ofic. do Rito de Benção
Ritos Menores;817;Acólito no Rito de Benção
Ritos Menores;820;Ofic. do Ritual de Matrimônio
Ritos Menores;821;Ofic. do Rito de Matrimônio
Ritos Menores;822;Acólito no Rito de Matrimônio
Ritos Menores;825;Ofic. do Ritual de Bodas
Ritos Menores;826;Ofic. do Rito de Bodas
Ritos Menores;827;Acólito no Rito de Bodas
Ritos Menores;830;Ofic. do Ritual de Exéquias
Ritos Menores;831;Ofic. do Rito de Exéquias
Ritos Menores;832;Acólito no Rito de Exéquias
Ritos Menores;833;Guardião no Rito de Exéquias
Ritos Menores;850;Ofic. do Ritual de Desmagnetização
Ritos Menores;851;Ofic. do Rito de Desmagnetização
Ritos Menores;852;Acólito no Rito de Desmagnetização
Ritos Menores;860;Ofic. no Ritual de Plenilúnio
Ritos Menores;861;Acólito no Ritual de Plenilúnio
Ritos Menores;862;Ofic. no Ritual de Plenilúnio de Pacientes
Ritos Menores;863;Acólito no Ritual de Plenilúnio de Pacientes
Ritos Menores;870;Ofic. do Rito de Purificação da Casa Templária
Ritos Menores;871;Mestre de Cerimônia do Rito de Purificação da Casa Templária
Ritos Menores;872;Guardião do Rito de Purificação da Casa Templária
Ritos Menores;873;Acólito portador do Fogareiro no Rito de Purificação da Casa Templária
Ritos Menores;874;Acólito portador da Tocha no Rito de Purificação da Casa Templária
Ritos Menores;875;Acólito portador da Água no Rito de Purificação da Casa Templária
Ritos Menores;876;Acólito portador de Círio no Rito de Purificação da Casa Templária
Ritos Menores;880;Ofic. do Rito do Dia Mundial da Grande Invocação
Ritos Menores;881;Acólito do Rito do Dia Mundial da Grande Invocação
Ritos Menores;882;Dirigente da Palestra T.Menor do Rito do Dia Mundial da Grande Invocação
Ritos Menores;883;Acólito na Palestra T.Menor do Rito do Dia Mundial da Grande Invocação
Ritos Menores;890;Ofic. do Rito de Purificação das Vestes da Sagr. Sacerdotal
Ritos Menores;891;Acólito em Rito de Purificação das Vestes da Sagr. Sacerdotal
Ritos Menores;892;Ofic. do Rito de Comunhão e Oferenda das Vestes da Sagr. Sacerdotal
